pH,Humidity (%),Temperature (°C),Soil Type
6.00,72,20,Silty
8.30,58,30,Clay
7.43,65,17,Sandy
6.89,42,34,Sandy
5.12,61,18,Silty
7.66,51,21,Sandy
7.92,76,39,Silty
6.61,74,36,Peaty
7.99,63,28,Chalky
4.84,77,20,Silty
6.14,81,18,Clay
8.29,59,25,Clay
6.46,66,28,Loamy
7.64,33,39,Sandy
8.06,78,33,Silty
5.34,69,20,Clay
7.37,35,37,Chalky
8.25,53,24,Clay
6.87,61,33,Peaty
5.62,67,28,Sandy
6.23,55,34,Sandy
7.88,74,18,Loamy
6.90,65,21,Loamy
7.58,47,35,Silty
5.97,62,28,Clay
6.67,40,38,Chalky
5.82,64,27,Sandy
6.44,83,22,Loamy
6.21,39,19,Silty
7.15,78,29,Sandy
6.52,68,33,Chalky
6.95,48,30,Clay
7.71,80,26,Loamy
6.32,37,21,Silty
5.77,85,35,Loamy
7.46,51,27,Clay
6.73,74,23,Loamy
6.08,89,31,Chalky
7.05,43,28,Sandy
6.28,55,25,Loamy
5.65,77,29,Clay
7.99,41,30,Peaty
6.13,72,34,Sandy
7.82,67,28,Loamy
6.34,56,36,Silty
7.41,59,24,Clay
5.55,84,27,Peaty
7.26,38,22,Clay
6.49,79,29,Loamy
7.17,52,33,Silty
6.04,61,31,Clay
7.62,66,27,Sandy
6.11,45,25,Loamy
7.53,73,19,Chalky
5.92,60,32,Clay
7.84,35,21,Sandy
6.40,86,29,Loamy
7.19,49,33,Clay
6.01,68,26,Silty
7.94,77,31,Peaty
6.55,36,18,Loamy
7.22,64,34,Sandy
6.19,83,22,Clay
7.87,48,28,Loamy
6.36,75,26,Chalky
5.89,53,24,Silty
7.44,71,33,Clay
6.27,69,20,Loamy
7.81,57,35,Loamy
6.07,82,27,Sandy
7.66,44,30,Clay
6.18,59,21,Peaty
7.25,63,25,Silty
6.42,70,33,Clay
7.16,79,29,Loamy
6.85,54,32,Sandy
7.93,47,23,Loamy
6.10,67,28,Silty
7.36,74,35,Clay
6.26,38,20,Loamy
7.83,81,29,Silty
6.09,60,27,Chalky
7.57,68,34,Clay
6.22,52,25,Loamy
7.48,76,28,Sandy
6.14,85,22,Peaty
7.32,41,30,Clay
6.95,73,26,Loamy
7.61,58,31,Silty
6.24,79,24,Clay
7.68,36,21,Loamy
6.02,62,29,Sandy
7.42,84,35,Loamy
6.17,46,27,Clay
7.29,55,23,Silty
6.51,77,30,Chalky
7.85,34,19,Loamy
6.06,82,33,Clay
7.63,49,28,Silty
6.12,70,26,Loamy
7.28,65,22,Sandy
6.39,78,31,Peaty
7.45,42,24,Clay
6.15,60,29,Silty
7.74,53,25,Loamy
6.33,80,27,Clay
7.27,45,30,Loamy
6.03,68,19,Chalky
7.51,56,33,Clay
6.25,72,28,Sandy
7.86,39,22,Loamy
6.16,63,26,Clay
